First seen,Initial URL,Landing URL,Final URL
5/10/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://aibuzzcentral[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://aibuzzcentral[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://just-caliberrshc[.]cloud/[targeted email address]
5/10/2024,tracker.club-os[.]com/campaign/click?msgId=d738c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=neoparts.com[.]br/seyi/reh3/[base64 string],hxxp://neoparts.com[.]br/seyi/reh3/[base64 string],hxxps://[random prefix].x34t6[.]com/BmergB/#[targeted email address]
5/10/2024,tracker.club-os[.]com/campaign/click?qDomYmsgId=d738c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=cryptochronicles[.]io//linux/[base64 string]/[targeted email address],hxxp://cryptochronicles[.]io//linux/[base64 string]/[targeted email address],hxxps://tracking-pastusuage[.]com/[targeted email address]
5/11/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://aibuzzcentral[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://aibuzzcentral[.]com/[random string]/[4-digit number]/new/new[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://uwm-onedrive[.]com/[targeted email address]
5/13/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[base64 string],hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].ableto7[.]com/TIeII8o/#[targeted email address]
5/13/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%253A%252F%252Flaunch%252F%253futm_content%253dUL_hero%2526utm_source%253dsf%2526utm_medium%253dcrm%2526utm_campaign%253dnl%2526utm_term%253dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%2526mktportal%253dNL&af_web_dp=hxxps://homeschoolmexico[.]education/shjbshjhjshjsbhsj/new/[base64 string],hxxps://homeschoolmexico[.]education/shjbshjhjshjsbhsj/new/bWFjLm1jZmFybGFuZEBjcmMuY29t?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true,hxxps://ozoneintegrale.com[.]br/ActiveToYvalidationformsO.3650fficeactive.html#[targeted email address]
5/13/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[base64 string],hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].uganion[.]com/sJoBQ/#[targeted email address]
5/14/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].ableto7[.]com/TIeII8o/#[targeted email address]
5/14/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].ableto7[.]com/TIeII8o/#[targeted email address]
5/14/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://seehimrimmed[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://closingdocs-portal[.]online/Mbhutjens02/[targeted email address]
5/14/2024,walmart.onelink[.]me/UIev?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA&af_dp=walmart://home&af_web_dp=hxxps://hdweb[.]info/Gfughetught538hy85yt3/oriegchuruf84ghejasmz/[base64 string],hxxps://hdweb[.]info/Gfughetught538hy85yt3/oriegchuruf84ghejasmz/1060D2105FUbs/[base64 string]?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA,hxxps://citrusgraphix[.]com/redirect1#[targeted email address]
5/15/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app://launch/?utm_content=UL_hero&utm_source=sf&utm_medium=crm&utm_campaign=nl&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150&mktportal=NL&af_web_dp=hxxps://pcc[.]zemmz[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://pcc.zemmz[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://caliber-docs[.]cloud/[targeted email address]
5/15/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://pcc[.]zemmz[.]com/[random string]/[4-digit number]/new/new/[base64 string],hxxps://pcc.zemmz[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://[random prefix].ableto7[.]com/TIeII8o/#[targeted email address]
5/15/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[base64 string],hxxps://tunisietextile[.]tn/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://caliber-docs[.]cloud/[targeted email address]
5/15/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=claimmysurplusfunds[.]com/claimmysurplusfunds/claimmysurplusfunds/[base64 string],hxxp://claimmysurplusfunds[.]com/claimmysurplusfunds/claimmysurplusfunds/[base64 string],hxxps://p2qcah.9mnx1[.]com/p2qcah/#[targeted email address]
5/16/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://d8comunica[.]com[.]br/[random string]/[4-digit number]/new/new/[base64 string],hxxps://d8comunica.com[.]br/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://just-caliberrshc[.]cloud/[targeted email address]
5/16/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=hxxps://betternowmentalhealth[.]com/rab/amma/[base64 string],hxxps://betternowmentalhealth[.]com/rab/amma/[base64 string],hxxps://splendidanimations[.]com/appa/?email=[targeted email address]
5/17/2024,opodo.onelink[.]me/RnQA?pid=CRM&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&is_retargeting=true&af_dp=op-app%3A%2F%2Flaunch%2F%3futm_content%3dUL_hero%26utm_source%3dsf%26utm_medium%3dcrm%26utm_campaign%3dnl%26utm_term%3dXX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150%26mktportal%3dNL&af_web_dp=hxxps://dexsdesign[.]com/[random string]/[4-digit number]/new/new/[targeted email address],hxxps://dexsdesign[.]com/[random string]/[4-digit number]/new/new/[targeted email address]?pid=CRM&is_retargeting=true&utm_source=sf&utm_medium=crm&af_adset=email&af_ad=crm_nl_PDA_SneakPeek_NP_X_290124__&utm_campaign=nl&mktportal=NL&utm_term=XX-XX-CRM-E-NL-PDA-FL-X-NP_PrimeDay8_NonPrime_SneakPeekAPP_290124_Render_435150,hxxps://caliber-docs[.]cloud/[targeted email address]
5/17/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=hxxps://[random prefix].turbosden[.]it/raba/ammad/[base64 string],hxxps://[random prefix].turbosden[.]it/raba/ammad/[base64 string],hxxps://hampshire36[.]com/raba/index[.]htm#[targeted email address]
5/22/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=dgcard.net[.]br/hjghcgvjhhvb/mkjbhnm/gained/heheh/[base64 string],hxxp://dgcard.net[.]br/hjghcgvjhhvb/mkjbhnm/gained/heheh/[base64 string],hxxps://pub-6baf1b9cb1684476aa3325296ca875f3.r2[.]dev/updated[.]html#[targeted email address]
5/23/2024,tracker.club-os[.]com/campaign/click?99559ms99559gId=d738c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=somalavanderia.com[.]br/fr/01745/[base64 string],hxxp://somalavanderia[.]com[.]br/fr/01745/[base64 string],hxxps://comlimitmarc[.]com/?cqjnodgy&qrc=[targeted email address]
6/10/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=hxxp://beautyandbait[.]com/re/xc0017xc0017/[base64 string],hxxp://beautyandbait[.]com/re/xc0017xc0017/[base64 string],hxxps://hrsmalawi[.]com/japan?email=xc0017[targeted email address]
6/12/2024,walmart.onelink[.]me/UIev?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA&af_dp=walmart://home&af_web_dp=hxxps://ruthjota[.]com/Machine/pub-a1uyhyefgalanipamolkuenf/Worthingtonlibraries/[base64 string],hxxps://ruthjota[.]com/Machine/pub-a1uyhyefgalanipamolkuenf/Worthingtonlibraries/[base64 string]?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA,hxxps://serenity.inf[.]br/REDIRECT/oIUgsz/[targeted email address]
6/12/2024,walmart.onelink[.]me/UIev?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA&af_dp=walmart://home&af_web_dp=hxxps://[random prefix].gospelmusicnet[.]com/pub-a1uyhyefgalanipamolkuenf/amazon-youtube/Weilerabrasives/[base64 string],hxxps://[random prefix].gospelmusicnet[.]com/[random term or string]/[random term or string]/[random term or string]/[base64 string]?pid=Email&c=W-FY18Q4-Email-BTH-O-DG-General-AppDLFooter-BOTH-NA-NA,hxxps://serenity.inf[.]br/REDIRECT/oIUgsz/[targeted email address]
6/21/2024,tracker.club-os[.]com/campaign/click?msgId=f8ea317d963149a518aa35e03e5541f797badf3c&target=hxxp://smrt[.]com[.]sg[.]beautyandbait[.]com/re/smrt[.]com[.]sg/[targeted email address],hxxp://smrt.com.sg.beautyandbait[.]com/re/smrt.com.sg/[targeted email address],hxxps://ipfs.chainsafe[.]io/ipfs/Qmak9SYTZHYyz8iu4Rs3nbLifa3wrpGKWiNh1qM4gRpZor#[targeted email address]
6/27/2024,tracker.club-os[.]com/campaign/click?msgId=dipf838c6bd137e6a03157c6c728cbc659e734fc398%26test=false%26target=disbrava[.]net/dayo/4tdqb/captcha/[base64 string],hxxp://disbrava[.]net/dayo/[5-character string]/captcha/[base64 string],hxxps://[random prefix].x34t6[.]com/BmergB/#[targeted email address]
6/27/2024,tracker.club-os[.]com/campaign/click?msgId=dskd838c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=teixeiraemotta[.]com[.]br/dayo/xrb5t/captcha/[base64 string],hxxp://teixeiraemotta[.]com[.]br/dayo/xrb5t/captcha/[base64 string],hxxps://[random prefix].blexpon[.]com/hRtDMY9/#[targeted email address]
6/27/2024,tracker.club-os[.]com/campaign/click?msgId=dvqv838c6bd137e6a03157c6c728cbc659e734fc398&test=false&target=circuitovtr.com[.]br/dayo/2ttbs/captcha/[base64 string],hxxp://circuitovtr[.]com[.]br/dayo/[random string]/captcha/[base64 string],hxxps://[random prefix].ticemi[.]com/s4L8Pj/#[targeted email address]
6/29/2024,guide-orientation[.]tn/go_page.php?href=hxxps://4cut[.]pl//fancybox/top/[base64 string],hxxps://4cut[.]pl//fancybox/top/[base64 string],hxxps://cf-ipfs[.]com/ipfs/bafkreicbn4xgfxajydu6jbz2b5b5mijjnfskkns7uufaat5fao3tjddadi#[targeted email address]
7/2/2024,guide-orientation[.]tn/go_page.php?href=hxxps://atmmahmud[.]com/kgh/[username]/[targeted email address],hxxps://atmmahmud[.]com/kgh/[username]/[targeted email address],hxxps://cf-ipfs[.]com/ipfs/bafkreic7intzjnj746hcrgdbvs6xeg6tzdr2nen5jupl3nnpg7lucql4qy#[targeted email address]
7/2/2024,guide-orientation[.]tn/go_page.php?href=hxxps://fe.xrqo8.ru[.]com/[.]well-known/acme-challenge/[base64 string],hxxps://fe.xrqo8.ru[.]com/.well-known/acme-challenge/[base64 string],hxxps://cf-ipfs[.]com/ipfs/bafkreicj32yprjitxoyrmoxqcknj2xohjinvl5zcy6bnandbuggdki3bxu#[targeted email address]